datetime,signal
2021-07-02_21:03:00,0
2021-07-02_21:04:00,0
2021-07-02_21:05:00,2
2021-07-02_21:06:00,1
2021-07-02_21:07:00,1
2021-07-02_21:08:00,0
2021-07-02_21:09:00,2
2021-07-02_21:10:00,0
2021-07-02_21:11:00,2
2021-07-02_21:12:00,0
2021-07-02_21:13:00,1
2021-07-02_21:14:00,1
2021-07-02_21:15:00,2
2021-07-02_21:16:00,0
2021-07-02_21:17:00,0
2021-07-02_21:18:00,2
2021-07-02_21:19:00,1
2021-07-02_21:20:00,2
2021-07-02_21:21:00,0
2021-07-02_21:22:00,1
2021-07-02_21:23:00,0
2021-07-02_21:24:00,2
2021-07-02_21:25:00,1
2021-07-02_21:26:00,0
2021-07-02_21:27:00,1
2021-07-02_21:28:00,2
2021-07-02_21:29:00,1
2021-07-02_21:30:00,1
2021-07-02_21:31:00,1
2021-07-02_21:32:00,2
2021-07-02_21:33:00,2
2021-07-02_21:34:00,1
2021-07-02_21:35:00,2
2021-07-02_21:36:00,0
2021-07-02_21:37:00,1
2021-07-02_21:38:00,1
2021-07-02_21:39:00,1
2021-07-02_21:40:00,0
2021-07-02_21:41:00,0
2021-07-02_21:42:00,1
2021-07-02_21:43:00,1
2021-07-02_21:44:00,1
2021-07-02_21:45:00,1
2021-07-02_21:46:00,0
2021-07-02_21:47:00,1
2021-07-02_21:48:00,0
2021-07-02_21:49:00,1
2021-07-02_21:50:00,0
2021-07-02_21:51:00,0
2021-07-02_21:52:00,2
2021-07-02_21:53:00,2
2021-07-02_21:54:00,1
2021-07-02_21:55:00,1
2021-07-02_21:56:00,1
2021-07-02_21:57:00,0
2021-07-02_21:58:00,2
2021-07-02_21:59:00,0
2021-07-02_22:00:00,1
2021-07-02_22:01:00,0
2021-07-02_22:02:00,2
2021-07-02_22:03:00,1
2021-07-02_22:04:00,0
2021-07-02_22:05:00,2
2021-07-02_22:06:00,2
2021-07-02_22:07:00,1
2021-07-02_22:08:00,1
2021-07-02_22:09:00,2
2021-07-02_22:10:00,0
2021-07-02_22:11:00,0
2021-07-02_22:12:00,1
2021-07-02_22:13:00,0
2021-07-02_22:14:00,0
2021-07-02_22:15:00,1
2021-07-02_22:16:00,0
2021-07-02_22:17:00,2
2021-07-02_22:18:00,1
2021-07-02_22:19:00,2
2021-07-02_22:20:00,2
2021-07-02_22:21:00,2
2021-07-02_22:22:00,1
2021-07-02_22:23:00,0
2021-07-02_22:24:00,0
2021-07-02_22:25:00,1
2021-07-02_22:26:00,1
2021-07-02_22:27:00,1
2021-07-02_22:28:00,0
2021-07-02_22:29:00,2
2021-07-02_22:30:00,1
2021-07-02_22:31:00,2
2021-07-02_22:32:00,0
2021-07-02_22:33:00,1
2021-07-02_22:34:00,1
2021-07-02_22:35:00,0
2021-07-02_22:36:00,2
2021-07-02_22:37:00,0
2021-07-02_22:38:00,1
2021-07-02_22:39:00,2
2021-07-02_22:40:00,2
2021-07-02_22:41:00,0
2021-07-02_22:42:00,0
2021-07-02_22:43:00,1
2021-07-02_22:44:00,0
